Id | Date | Sales | Stock
1 | 12.04.2023 | 3 | 39
1 | 03.06.2023 | 19 | 23
1 | 10.06.2023 | 10 | 21
1 | 23.06.2023 | 9 | 38
1 | 09.09.2023 | 15 | 33
1 | 04.12.2023 | 5 | 39
2 | 09.03.2023 | 5 | 22
2 | 18.03.2023 | 12 | 37
2 | 02.04.2023 | 13 | 39
2 | 16.04.2023 | 6 | 31
2 | 24.06.2023 | 8 | 34
2 | 25.08.2023 | 16 | 23
2 | 08.09.2023 | 15 | 27
2 | 09.09.2023 | 10 | 29
2 | 11.09.2023 | 1 | 33
2 | 13.09.2023 | 1 | 22
2 | 16.10.2023 | 4 | 30
2 | 01.11.2023 | 5 | 26
2 | 08.11.2023 | 2 | 25
2 | 24.11.2023 | 7 | 37
2 | 02.01.2024 | 2 | 39
2 | 27.02.2024 | 8 | 31
3 | 27.03.2023 | 0 | 20
3 | 20.04.2023 | 4 | 26
3 | 01.08.2023 | 16 | 34
3 | 09.10.2023 | 9 | 33
3 | 31.12.2023 | 3 | 27
4 | 22.03.2023 | 9 | 34
4 | 19.05.2023 | 9 | 35
4 | 05.06.2023 | 13 | 28
4 | 17.07.2023 | 7 | 25
4 | 07.08.2023 | 18 | 23
4 | 09.09.2023 | 13 | 30
4 | 13.09.2023 | 3 | 31
4 | 18.11.2023 | 11 | 20
4 | 11.12.2023 | 8 | 29
4 | 09.01.2024 | 17 | 28
5 | 20.03.2023 | 8 | 29
5 | 05.05.2023 | 12 | 38
5 | 07.05.2023 | 11 | 22
5 | 18.06.2023 | 14 | 30
5 | 18.07.2023 | 18 | 20
5 | 07.08.2023 | 9 | 22
5 | 20.09.2023 | 3 | 34
5 | 13.10.2023 | 8 | 24
5 | 01.11.2023 | 9 | 38
5 | 09.11.2023 | 14 | 26
5 | 13.11.2023 | 13 | 38
5 | 18.11.2023 | 9 | 28
6 | 23.03.2023 | 1 | 27
6 | 11.04.2023 | 6 | 26
6 | 08.06.2023 | 16 | 35
6 | 31.07.2023 | 18 | 32
6 | 16.08.2023 | 13 | 20
6 | 29.08.2023 | 0 | 27
6 | 29.09.2023 | 17 | 22
6 | 09.11.2023 | 0 | 26
6 | 09.12.2023 | 17 | 26
6 | 19.12.2023 | 17 | 31
6 | 28.12.2023 | 2 | 33
6 | 02.01.2024 | 15 | 36
6 | 05.01.2024 | 17 | 37
6 | 06.01.2024 | 9 | 31
6 | 16.01.2024 | 2 | 35
6 | 26.02.2024 | 7 | 33
6 | 27.02.2024 | 17 | 31
7 | 05.05.2023 | 9 | 21
7 | 20.06.2023 | 19 | 22
7 | 31.08.2023 | 8 | 25
7 | 14.11.2023 | 7 | 39
7 | 21.01.2024 | 19 | 20
7 | 24.02.2024 | 4 | 39
7 | 01.03.2024 | 2 | 39
8 | 14.05.2023 | 3 | 23
8 | 14.06.2023 | 18 | 26
8 | 24.08.2023 | 2 | 23
8 | 22.09.2023 | 3 | 37
8 | 30.09.2023 | 15 | 24
8 | 10.10.2023 | 10 | 30
8 | 13.10.2023 | 3 | 27
8 | 05.11.2023 | 2 | 23
8 | 10.12.2023 | 3 | 23
8 | 06.02.2024 | 19 | 35
8 | 26.02.2024 | 16 | 37
8 | 06.03.2024 | 6 | 21
9 | 25.04.2023 | 8 | 39
9 | 23.05.2023 | 1 | 34
9 | 02.06.2023 | 13 | 31
9 | 21.06.2023 | 16 | 28
9 | 27.06.2023 | 15 | 35
9 | 25.07.2023 | 14 | 28
9 | 07.09.2023 | 7 | 23
9 | 23.09.2023 | 15 | 26
9 | 10.11.2023 | 2 | 25
9 | 15.11.2023 | 2 | 38
9 | 05.12.2023 | 2 | 37
9 | 04.01.2024 | 1 | 26
9 | 07.01.2024 | 18 | 33
9 | 31.01.2024 | 16 | 25
9 | 11.02.2024 | 3 | 39
