ProductId | Demand
5 | 447
3 | 154
1 | 564
2 | 164
4 | 16
10 | 355
6 | 277
7 | 14
8 | 364
9 | 296
15 | 794
14 | 602
12 | 610
11 | 741
13 | 122
20 | 546
18 | 793
16 | 275
19 | 565
17 | 674
22 | 610
25 | 556
24 | 392
23 | 573
21 | 684
30 | 201
27 | 463
29 | 378
28 | 674
26 | 534
31 | 233
32 | 336
33 | 400
34 | 181
35 | 490
36 | 540
37 | 173
38 | 155
39 | 568
40 | 593
41 | 75
42 | 705
51 | 734
49 | 677
50 | 162
48 | 240
47 | 415
46 | 304
45 | 678
44 | 210
43 | 268
52 | 464
53 | 540
59 | 468
61 | 430
60 | 149
58 | 430
56 | 182
55 | 794
54 | 492
57 | 609
62 | 801
64 | 180
63 | 449
71 | 599
65 | 327
66 | 140
67 | 401
70 | 251
69 | 212
68 | 342
72 | 437
73 | 273
75 | 612
80 | 72
79 | 273
78 | 675
81 | 137
74 | 597
77 | 499
76 | 190
82 | 429
83 | 418
91 | 202
88 | 381
84 | 347
85 | 257
89 | 388
90 | 520
87 | 152
86 | 200
92 | 322
93 | 599
101 | 220
100 | 724
98 | 110
97 | 342
96 | 420
94 | 434
95 | 478
99 | 333
102 | 195
103 | 450
110 | 179
109 | 256
104 | 86
105 | 646
106 | 210
107 | 423
108 | 390
111 | 443
112 | 496
113 | 580
121 | 633
114 | 360
115 | -5
116 | 534
117 | 325
118 | 241
119 | 374
120 | 569
122 | 422
131 | 531
130 | 762
129 | 518
128 | 529
127 | 261
126 | 409
125 | 674
124 | 724
123 | 208
132 | 196
133 | 309
139 | 282
138 | 52
141 | 521
134 | 489
137 | 267
140 | 827
136 | 507
135 | 636
