Id | Prediction | Stock
1 | 593 | 29
2 | 191 | 27
3 | 183 | 29
4 | 49 | 33
5 | 473 | 26
6 | 316 | 39
7 | 53 | 39
8 | 387 | 23
9 | 330 | 34
10 | 381 | 26
11 | 766 | 25
12 | 649 | 39
13 | 148 | 26
14 | 627 | 25
15 | 822 | 28
16 | 297 | 22
17 | 707 | 33
18 | 819 | 26
19 | 596 | 31
20 | 574 | 28
21 | 718 | 34
22 | 643 | 33
23 | 597 | 24
24 | 419 | 27
25 | 588 | 32
26 | 555 | 21
27 | 483 | 20
28 | 697 | 23
29 | 400 | 22
30 | 228 | 27
31 | 254 | 21
32 | 360 | 24
33 | 437 | 37
34 | 202 | 21
35 | 521 | 31
36 | 575 | 35
37 | 198 | 25
38 | 185 | 30
39 | 601 | 33
40 | 621 | 28
41 | 110 | 35
42 | 737 | 32
43 | 306 | 38
44 | 240 | 30
45 | 711 | 33
46 | 341 | 37
47 | 443 | 28
48 | 261 | 21
49 | 716 | 39
50 | 192 | 30
51 | 761 | 27
52 | 495 | 31
53 | 560 | 20
54 | 528 | 36
55 | 819 | 25
56 | 207 | 25
57 | 645 | 36
58 | 457 | 27
59 | 493 | 25
60 | 175 | 26
61 | 461 | 31
62 | 829 | 28
63 | 473 | 24
64 | 211 | 31
65 | 363 | 36
66 | 176 | 36
67 | 436 | 35
68 | 364 | 22
69 | 250 | 38
70 | 278 | 27
71 | 626 | 27
72 | 469 | 32
73 | 300 | 27
74 | 630 | 33
75 | 642 | 30
76 | 225 | 35
77 | 525 | 26
78 | 705 | 30
79 | 296 | 23
80 | 101 | 29
81 | 175 | 38
82 | 461 | 32
83 | 445 | 27
84 | 380 | 33
85 | 295 | 38
86 | 237 | 37
87 | 173 | 21
88 | 409 | 28
89 | 418 | 30
90 | 545 | 25
91 | 232 | 30
92 | 359 | 37
93 | 633 | 34
94 | 454 | 20
95 | 498 | 20
96 | 458 | 38
97 | 380 | 38
98 | 149 | 39
99 | 369 | 36
100 | 755 | 31
101 | 257 | 37
102 | 227 | 32
103 | 489 | 39
104 | 112 | 26
